tradeN;symbol;type;shares;entrySignal;entryTime;entryPrice;exitSignal;exitTime;exitPrice;profit;runUp;drawDown
82;73_TLT_1D_L_A,<br>TLT (1 Day );Long;113;Entry;2007-02-09 12:00:00 AM;87.89;TimeX;2007-02-20 12:00:00 AM;88.84;104.85;107.23;-79.22
83;77_SMH_1D_L_A,<br>SMH (1 Day );Long;595;Entry;2007-02-13 12:00:00 AM;16.87;ProfX;2007-02-20 12:00:00 AM;17.26;229.55;296.25;-84.55
84;94_TLT_1D_L_A,<br>TLT (1 Day );Long;115;Entry;2007-02-14 12:00:00 AM;87.52;PTx;2007-02-20 12:00:00 AM;88.85;150.450000000001;151.7;-1.25
85;100_QQQ_1D_L_A,<br>QQQ (1 Day );Long;228;Entry;2007-02-14 12:00:00 AM;44.04;PTx;2007-02-20 12:00:00 AM;44.98;211.820000000001;213.07;-1.25
86;10_TLT_1D_L_A,<br>TLT (1 Day );Long;113;Entry;2007-02-20 12:00:00 AM;88.5;ProfX;2007-02-21 12:00:00 AM;88.69;18.97;38.3;-3.51
87;39_SPY_1D_L_A,<br>SPY (1 Day );Long;69;Entry;2007-02-09 12:00:00 AM;145.06;TimeX;2007-02-21 12:00:00 AM;145.98;60.979999999999;77.41;-130.28
88;56_QQQ_1D_L_A,<br>QQQ (1 Day );Long;224;Entry;2007-02-15 12:00:00 AM;44.63;ProfX;2007-02-21 12:00:00 AM;45.19;122.939999999999;128.67;-46.05
89;69_FXI_1D_L_A,<br>FXI (1 Day );Long;284;Entry;2007-02-13 12:00:00 AM;34.83;ProfX;2007-02-21 12:00:00 AM;36;329.78;356.59;-6.93
90;79_SMH_1D_L_A,<br>SMH (1 Day );Long;589;Entry;2007-02-12 12:00:00 AM;16.96;TimeX;2007-02-21 12:00:00 AM;17.24;162.420000000001;240.24;-136.72
91;5_GDX_1D_L_A,<br>GDX (1 Day );Short;250;Entry;2007-02-21 12:00:00 AM;40.32;SLx;2007-02-22 12:00:00 AM;42;-422.5;41.25;-421.25
92;6_GDX_1D_L_A,<br>GDX (1 Day );Long;244;Entry;2007-02-20 12:00:00 AM;40.32;PTx;2007-02-22 12:00:00 AM;42.23;463.540000000001;464.79;-115.93
93;80_SMH_1D_L_A,<br>SMH (1 Day );Long;595;Entry;2007-02-13 12:00:00 AM;16.87;ProfX;2007-02-22 12:00:00 AM;17.7;491.349999999999;558.05;-84.55
94;82_SPX_2D_L_A,<br>SPY (2 Days );Long;70;Entry;2007-02-14 12:00:00 AM;143.77;TimeX;2007-02-22 12:00:00 AM;145.87;144.5;184.25;-1.95
95;20_TLT_1D_L_A,<br>TLT (1 Day );Long;113;Entry;2007-02-23 12:00:00 AM;88.53;HHx1;2007-02-23 12:00:00 AM;88.85;33.660000000001;34.91;-5.77
96;21_TLT_1D_L_A,<br>TLT (1 Day );Long;113;Entry;2007-02-23 12:00:00 AM;88.53;HHx1;2007-02-23 12:00:00 AM;88.85;33.660000000001;34.91;-5.77
97;44_SPX_3D_L_A,<br>SPY (3 Days );Long;69;Entry;2007-02-12 12:00:00 AM;143.94;TimeX;2007-02-23 12:00:00 AM;145.3;91.340000000001;169.87;-53
98;17_SPY_1D_L_A,<br>SPY (1 Day );Long;68;Entry;2007-02-21 12:00:00 AM;145.61;TLx;2007-02-26 12:00:00 AM;144.94;-48.060000000001;53.83;-46.81
99;28_SPY_1D_L_A,<br>SPY (1 Day );Long;68;Entry;2007-02-21 12:00:00 AM;145.61;TimeX;2007-02-26 12:00:00 AM;145.83;12.46;53.83;-40.69
100;84_SPX_2D_L_A,<br>SPY (2 Days );Long;70;Entry;2007-02-14 12:00:00 AM;143.77;ProfX;2007-02-26 12:00:00 AM;145.17;95.5;184.25;-1.95
101;87_SPX_2D_S_A,<br>SPY (2 Days );Short;69;Entry;2007-02-26 12:00:00 AM;145.83;ProfX;2007-02-26 12:00:00 AM;145.17;43.04;73.27;-9.53
102;3_QQQ_1D_L_A,<br>QQQ (1 Day );Long;220;Entry;2007-02-23 12:00:00 AM;45.42;SLx;2007-02-27 12:00:00 AM;44.11;-290.700000000001;16.35;-289.45
103;13_QQQ_1D_L_A,<br>QQQ (1 Day );Long;229;Entry;2007-01-31 12:00:00 AM;43.58;TLx;2007-02-27 12:00:00 AM;44.37;178.41;449.88;-58.5
104;16_QQQ_1D_L_A,<br>QQQ (1 Day );Long;223;Entry;2007-02-16 12:00:00 AM;44.66;TLx;2007-02-27 12:00:00 AM;44.37;-67.170000000001;197.22;-65.92
105;17_SPY_1D_L_A,<br>SPY (1 Day );Long;69;Entry;2007-02-27 12:00:00 AM;143.88;TLx1;2007-02-27 12:00:00 AM;143.88;-2.5;0;-1.25
106;22_SPY_1D_L_A,<br>SPY (1 Day );Long;68;Entry;2007-02-21 12:00:00 AM;145.61;SLx;2007-02-27 12:00:00 AM;143.88;-120.140000000001;53.83;-118.89
107;39_SPY_1D_L_A,<br>SPY (1 Day );Long;69;Entry;2007-02-23 12:00:00 AM;145.74;SLx;2007-02-27 12:00:00 AM;143.52;-155.68;13.24;-154.43
108;43_SPX_3D_L_A,<br>SPY (3 Days );Long;69;Entry;2007-02-27 12:00:00 AM;145.83;TLx1;2007-02-27 12:00:00 AM;142.19;-253.660000000001;7.03;-252.41
109;58_SPY_1D_L_A,<br>SPY (1 Day );Long;69;Entry;2007-02-20 12:00:00 AM;145.56;TLx;2007-02-27 12:00:00 AM;143.4;-151.54;58.09;-150.29
110;68_FXI_1D_L_A,<br>FXI (1 Day );Long;278;Entry;2007-02-23 12:00:00 AM;35.73;SLx;2007-02-27 12:00:00 AM;33.4;-650.240000000001;18.21;-648.99
111;69_FXI_1D_L_A,<br>FXI (1 Day );Long;285;Entry;2007-02-27 12:00:00 AM;33.4;SLx1;2007-02-27 12:00:00 AM;33.31;-28.149999999999;27.25;-26.9
112;73_TLT_1D_L_A,<br>TLT (1 Day );Long;113;Entry;2007-02-21 12:00:00 AM;88.53;PTx;2007-02-27 12:00:00 AM;89.81;142.14;143.39;-50.97
113;79_SMH_1D_L_A,<br>SMH (1 Day );Long;565;Entry;2007-02-23 12:00:00 AM;17.77;TLx;2007-02-27 12:00:00 AM;17.22;-313.25;89.15;-312
114;88_DIA_1D_L_A,<br>DIA (1 Day );Long;79;Entry;2007-02-27 12:00:00 AM;125.34;TLx1;2007-02-27 12:00:00 AM;124.33;-82.29;85.65;-81.04
115;90_DIA_1D_L_A,<br>DIA (1 Day );Long;79;Entry;2007-02-27 12:00:00 AM;125.34;SLx1;2007-02-27 12:00:00 AM;124.73;-50.69;85.65;-49.44
116;84_SPX_2D_L_A,<br>SPY (2 Days );Long;69;Entry;2007-02-28 12:00:00 AM;143.88;TLx;2007-02-28 12:00:00 AM;140.63;-226.75;20.83;-225.5
117;68_FXI_1D_L_A,<br>FXI (1 Day );Long;303;Entry;2007-03-01 12:00:00 AM;31.58;SLx1;2007-03-01 12:00:00 AM;31.42;-50.98;0;-49.73
118;75_DIA_1D_L_A,<br>DIA (1 Day );Long;82;Entry;2007-03-01 12:00:00 AM;121.41;SLx1;2007-03-01 12:00:00 AM;120.39;-86.14;0;-84.89
119;1_SPX_1D_L_A,<br>SPY (1 Day );Long;72;FebLong;2007-02-28 12:00:00 AM;140.39;L_ProfExit;2007-03-02 12:00:00 AM;140.05;-26.98;113.23;-169.73
120;6_GDX_1D_L_A,<br>GDX (1 Day );Long;254;Entry;2007-02-28 12:00:00 AM;39.4;TLx;2007-03-02 12:00:00 AM;38.46;-241.259999999999;181.63;-240.01
121;5_GDX_1D_L_A,<br>GDX (1 Day );Short;255;Entry;2007-03-02 12:00:00 AM;38.5;PTx;2007-03-05 12:00:00 AM;37;380;381.25;-136.4
122;12_KRE_1D_L_A,<br>KRE (1 Day );Long;206;Entry;2007-02-28 12:00:00 AM;48.97;SLx;2007-03-05 12:00:00 AM;47.66;-272.359999999999;62.61;-271.11
123;16_QQQ_1D_L_A,<br>QQQ (1 Day );Long;232;Entry;2007-02-28 12:00:00 AM;43.15;TLx;2007-03-05 12:00:00 AM;42.11;-243.78;140.27;-242.53
124;39_SPY_1D_L_A,<br>SPY (1 Day );Long;71;Entry;2007-03-02 12:00:00 AM;140.05;SLx;2007-03-05 12:00:00 AM;137.34;-194.910000000001;42.06;-193.66
125;44_SPX_3D_L_A,<br>SPY (3 Days );Long;72;Entry;2007-03-02 12:00:00 AM;140.39;SLx;2007-03-05 12:00:00 AM;137.39;-218.5;113.23;-217.25
126;66_IWM_1D_L_A,<br>IWM (1 Day );Long;128;Entry;2007-02-28 12:00:00 AM;78.37;TLx;2007-03-05 12:00:00 AM;75.98;-308.42;107.55;-307.17
127;68_FXI_1D_L_A,<br>FXI (1 Day );Long;315;Entry;2007-03-05 12:00:00 AM;30.12;SLx1;2007-03-05 12:00:00 AM;30.01;-37.15;0;-35.9
128;12_KRE_1D_L_A,<br>KRE (1 Day );Long;211;Entry;2007-03-06 12:00:00 AM;48;PTx1;2007-03-06 12:00:00 AM;48.55;113.550000000001;114.8;-5.47
129;18_QQQ_1D_L_A,<br>QQQ (1 Day );Long;235;Entry;2007-03-05 12:00:00 AM;42.15;ProfX;2007-03-06 12:00:00 AM;42.85;162.000000000001;196.15;-22.4
130;19_XLK_1D_L_A,<br>XLK (1 Day );Long;325;Entry;2007-03-05 12:00:00 AM;22.46;ProfX;2007-03-06 12:00:00 AM;23.04;185.999999999999;187.25;-1.25
131;25_XLK_1D_L_A,<br>XLK (1 Day );Long;442;Entry;2007-03-05 12:00:00 AM;22.46;ProfX;2007-03-06 12:00:00 AM;23.04;253.859999999999;255.11;-1.25
132;27_SPY_1D_L_A,<br>SPY (1 Day );Long;73;Entry;2007-03-06 12:00:00 AM;138.78;PTx1;2007-03-06 12:00:00 AM;139.67;62.470000000001;63.72;-78.63
133;28_SPY_1D_L_A,<br>SPY (1 Day );Long;71;Entry;2007-03-01 12:00:00 AM;139.34;TimeX;2007-03-06 12:00:00 AM;138.78;-42.26;134.36;-143.96
134;3_QQQ_1D_L_A,<br>QQQ (1 Day );Long;235;Entry;2007-03-05 12:00:00 AM;42.15;ProfX;2007-03-07 12:00:00 AM;42.68;122.05;196.15;-22.4
135;36_DIA_1D_L_A,<br>DIA (1 Day );Long;82;Entry;2007-02-28 12:00:00 AM;122.41;TimeX;2007-03-07 12:00:00 AM;122;-36.12;85.67;-194.77
136;74_DIA_1D_L_A,<br>DIA (1 Day );Long;82;Entry;2007-03-01 12:00:00 AM;121.41;TimeX;2007-03-07 12:00:00 AM;122;45.88;120.93;-112.77
